
Sitecore XConnect Server
Filename,FileVersion,Version
Sitecore.MRSClient.dll,1.0.0.0,1.0.0.0
Sitecore.Nexus.Consumption.dll,1.0.0.0,1.0.0.0
Sitecore.Nexus.Licensing.dll,2.0.5.0,2.0.0.0
Sitecore.Processing.Common.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Common.Sql.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Cursors.Abstractions.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Cursors.Sql.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Engine.Abstractions.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Engine.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Engine.Messaging.Rebus.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Engine.Messaging.Rebus.SqlServer.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Engine.ML.Abstractions.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Engine.ML.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Engine.Projection.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Engine.Scripting.Abstractions.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Engine.Scripting.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Engine.Scripting.Mrs.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Engine.Storage.Abstractions.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Engine.Storage.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Engine.Storage.Sql.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Tasks.Abstractions.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Tasks.Options.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Tasks.Sql.dll,1.0.0.0,1.0.0.0
Sitecore.Reporting.Client.dll,1.0.0.0,1.0.0.0
Sitecore.Reporting.Core.dll,1.0.0.0,1.0.0.0
Sitecore.Reporting.Data.Abstractions.dll,1.0.0.0,1.0.0.0
Sitecore.Reporting.Data.Sql.dll,1.0.0.0,1.0.0.0
Sitecore.Reporting.Service.Abstractions.dll,1.0.0.0,1.0.0.0
Sitecore.Reporting.Service.Data.dll,1.0.0.0,1.0.0.0
Sitecore.XConnect.Client.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Client.Services.Configuration.dll,1.0.0.0,1.0.0.0
Sitecore.XConnect.Collection.Model.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Configuration.dll,3.0.0.0,3.0.0.0
Sitecore.XConnect.DependencyInjection.dll,3.0.0.0,3.0.0.0
Sitecore.XConnect.Diagnostics.ApplicationInsights.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Diagnostics.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Diagnostics.PerformanceCounters.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Logging.Serilog.AppInsights.dll,3.0.0.0,3.0.0.0
Sitecore.XConnect.Logging.Serilog.dll,3.0.0.0,3.0.0.0
Sitecore.XConnect.Search.dll,2.0.0.0,2.0.0.0
